0,CombatZoneResize,133,251,508,391,TLResume,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,1,,,,,,,
0,TLPause,,,,,,,,
0,PlatformRepeat,640,346,51,2,150,3,200,
0.4,BoneVRepeat,508,356,40,2,120,120,15,
0.4,BoneV,508,256,30,2,150,,,
0,BoneV,508,316,70,2,150,,,
,,,,,,,,,
0.4,BoneV,508,256,70,2,150,,,
0.2,BoneV,508,316,70,2,150,,,
0.05,Platform,505,346,20,2,150,,,
0.1,BoneV,508,256,70,2,150,,,
0.2,BoneV,508,316,70,2,150,,,
0,Platform,505,315,10,2,150,,,
0.2,BoneV,508,256,30,2,150,,,
0,BoneV,508,296,90,2,150,,,
0.35,BoneVRepeat,508,256,70,2,150,5,10,
,,,,,,,,,
4,SansBody,HandUp,,,,,,,
0,SansSlam,3,,,,,,,
0.6,BoneStab,3,45,0,10,,,,
0.5,SansBody,HandDown,,,,,,,
0,HeartMode,1,,,,,,,
0.3,Sound,Ding,,,,,,,
0,HeartMode,0,,,,,,,
0.4,SET,Pool,5,,,,,,
0,SUB,Pool,$Pool,1,,,,,
0,RND,UAngle,90,,,,,,
0,RND,DAngle,90,,,,,,
0,ADD,UAngle,$UAngle,45,,,,,
0,ADD,DAngle,$DAngle,225,,,,,
0,GasterBlaster,1,320,0,320,100,$UAngle,0.3,0.3
0,GasterBlaster,1,320,530,320,430,$DAngle,0.3,0.3
0.2,BoneVRepeat,508,326,70,2,300,2,12,
0.4,BoneV,133,256,130,0,300,1,,
0,BoneV,508,256,130,2,300,2,,
0.2,BoneVRepeat,133,256,70,0,300,2,12,
0.4,BoneV,133,256,130,0,300,2,,
0,BoneV,508,256,130,2,300,1,,
0,JMPNZ,28,$Pool,,,,,,
0.5,BoneVRepeat,508,326,70,2,1000,10,10,
0.2,BoneVRepeat,133,256,70,0,1000,10,10,
0.8,EndAttack,,,,,,,,
