0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,PlatformRepeat,552,346,51,2,120,8,140
0,PlatformRepeat,-20,306,51,0,120,8,160
0,BoneVRepeat,253,251,40,1,160,30,65
0,BoneVRepeat,378,391,40,3,160,30,65
0,SET,Pool,114,,,,,
0,JMPZ,35,$Pool,,,,,
0,RND,CI,2,,,,,
0,ADD,CI,$CI,2,,,,
0,RND,CII,2,,,,,
0,ADD,CII,$CII,2,,,,
0,RND,CIII,2,,,,,
0,ADD,CIII,$CIII,2,,,,
0,RND,SI,50,,,,,
0,ADD,SI,$SI,150,,,,
0,RND,SII,50,,,,,
0,ADD,SII,$SII,150,,,,
0,RND,SIII,50,,,,,
0,ADD,SIII,$SIII,150,,,,
0,SUB,Pool,$Pool,1,,,,
0,RND,Jump,3,,,,,
0,ADD,Jump,$Jump,1,,,,
0,JMPREL,$Jump,,,,,,
0,JMPREL,3,,,,,,
0,JMPREL,4,,,,,,
0,JMPREL,5,,,,,,
0,BoneV,517,257,45,2,$SI,$CI,
0.1,JMPABS,9,,,,,,
0,BoneV,125,306,40,0,$SII,$CII,
0.1,JMPABS,9,,,,,,
0,BoneV,517,349,35,2,$SIII,$CIII,
0.1,JMPABS,9,,,,,,
2,EndAttack,,,,,,,
