0,CombatZoneResize,113,231,548,391,TLResume,,,
0,HeartTeleport,155,352,,,,,,
0,HeartMode,1,,,,,,,
0,Platform,131,361,41,0,90,1,,
0,Platform,489,300,41,2,90,1,,
0,BoneVRepeat,528,366,40,0,60,60,15,
0,BoneVRepeat,133,221,40,2,60,60,15,
,,,,,,,,,
0,BoneHRepeat,113,306,45,2,120,60,100,
,,,,,,,,,
0,BoneVRepeat,200,325,40,1,160,27,65,
0,BoneVRepeat,283,268,40,3,120,21,65,
0,BoneVRepeat,363,325,40,1,160,27,65,
0,BoneVRepeat,443,268,40,3,120,21,65,
,,,,,,,,,
0,SET,Loop,2,,,,,,
0,SUB,Loop,$Loop,1,,,,,
1,Sound,BoneStab,,,,,,,
0,BoneV,113,326,60,0,240,,,
0,BoneV,538,236,60,2,240,,,
1.7,Sound,BoneStab,,,,,,,
0,BoneV,548,326,60,2,240,,,
0,BoneV,113,236,60,0,240,,,
0.8,JMPNZ,17,$Loop,,,,,,
,,,,,,,,,
1,GetHeartPos,HeartX,HeartY,,,,,,
0,SUB,LGB,$HeartX,82,,,,,
0,ADD,RGB,$HeartX,82,,,,,
0,SUB,UGB,$HeartY,82,,,,,
0,ADD,DGB,$HeartY,82,,,,,
,,,,,,,,,
0,SUB,Left,$LGB,1000,,,,,
0,ADD,Right,$RGB,1000,,,,,
0,SUB,Up,$UGB,1000,,,,,
0,ADD,Down,$DGB,1000,,,,,
,,,,,,,,,
0,GasterBlaster,1,$Left,$HeartY,$LGB,$HeartY,0,0,0.3
0,GasterBlaster,1,$Right,$HeartY,$RGB,$HeartY,180,0,0.3
0,GasterBlaster,1,$HeartX,$Up,$HeartX,$UGB,90,0,0.3
0,GasterBlaster,1,$HeartX,$Down,$HeartX,$DGB,270,0,0.3
,,,,,,,,,
2,EndAttack,,,,,,,,
